Event Name,Club/Chapter,Venue,Number of Participants,Date,Slot
VentureVerse,Innovation and Creation Club,BHAGAT SINGH,3-5 menbers,2024-09-27,04:30 PM - 11:30 PM
Hexagon Hunt,The Society Of Petroleum Engineers,SMV G10,3-5 members,2024-09-27,04:30 PM - 01:30 AM
InnerCanvas,ARCH-I-TECH,CLASSROOM,Solo,2024-09-21,01:30 PM - 05:30 PM
IQphoria,Society of Petroleum Engineers (SPE),SMV 210,3-5,2024-09-21,01:30 PM - 06:30 PM
Math Premier League (MPL),Society of Industrial and Applied Mathematics (SIAM) (SIAM),SMARTCLASSROOM,3-5 members,2024-09-21,03:30 PM - 01:30 AM
Binary Bulletein,The Hindu Education Plus Club,SMARTCLASSROOM,2-3 members,2024-09-28,01:30 PM - 09:30 PM
Bug Bounty,IEEE-VIT,CLASSRROOM,3 members per group.,2024-09-29,01:30 PM - 09:30 PM
ESPXPLORE,Instrument Society of India (ISOI),CLASSROOM,3-5,2024-09-22,02:30 PM - 11:30 PM
Augmenta: The AR/VR Experience,IET,GALLERY,Solo,2024-09-28,01:30 PM - 04:30 PM
Schrodinger's escape,Gurutva,CLASSROOM,2-5,2024-09-21,01:30 PM - 09:30 PM
The Innovator's Canvas,Innovation and creation club,SMARTCLASSROOM,1-3 members,2024-09-28,01:30 PM - 05:30 PM
ManuFactX,Additive Manufacturing Society of India(AMSI),SMARTCLASSROOM,1-5 members,2024-09-27,05:30 PM - 01:30 AM
Robowars,Robovitics,SJT FOODYS,any,2024-09-27,01:30 PM - 01:30 AM
Manupitch 2.0,Society of Manufacturing Engineers (SME-VIT),SMARTCLASSROOM,3-4 members,2024-09-20,01:30 PM - 01:30 AM
Build A Bug,SABEST,CLASSROOM,3-5 members,2024-09-20,02:30 PM - 11:30 PM
AeroVate,VIT - Stellar,SJT GROUND,4-5 members,2024-09-20,07:30 PM - 11:30 PM
Yellow Tape 3.0,Society for biological engineering,CLASSROOM,4-5 members,2024-09-29,01:30 PM - 01:30 AM
Celestial Dive 3.0,VIT Stellar - Astronomy Club,LAWN,Solo,2024-09-28,01:30 PM - 06:30 PM
Dream World Film Festival,Vit Film Society,CLASSROOM,3-5 members,2024-09-27,04:30 PM - 01:30 AM
System.KnockOut,IETE-ISF,SMARTCLASSROOM,3-5 members,2024-09-29,02:30 PM - 09:30 PM
Detective's Dilemma,VIT Trekking Club,CLASSROOM,4-5 members,2024-09-27,02:30 PM - 09:30 PM
Labyrinth,IEEE-VIT,HOMIBABA,5 members,2024-09-21,07:30 PM - 01:30 AM
Labyrinth,IEEE-VIT,HOMIBABA,5 members,2024-09-21,07:30 PM - 01:30 AM
HackXpertise,IEEE TEMS,KAMRAJ,3-4 members,2024-09-20,03:30 PM - 09:30 PM
Pretty Tough Ladies,FEPSI,CLASSROOM,3 per team,2024-09-28,01:30 PM - 01:30 AM
HYPERLOOP,American Society of Mechanical Engineers,CLASSROOM,solo,2024-09-21,01:30 PM - 07:30 PM
HackBattle,IEEE Computer Society,ANNA AUDI,2-3 members,2024-09-25,01:30 PM - 01:30 AM
